"latitude","longitude","room_type","reviews_per_month","review_performance","minimum_nights","neighbourhood","neighbourhood_group","calculated_host_listings_count","availability_365","price"
40.69142,-73.97376,"Private room",1.16,199,3,"Fort Greene","Brooklyn","2",192,80
40.68043,-73.93934,"Private room",1.01,165,1,"Bedford-Stuyvesant","Brooklyn","3",251,80
40.78635,-73.97008,"Entire home/apt",0.63,109,2,"Upper West Side","Manhattan","1",302,151
40.7042,-73.9356,"Entire home/apt",0.7,118,3,"Williamsburg","Brooklyn","1",140,228
40.73506,-73.95392,"Entire home/apt",2.82,488,2,"Greenpoint","Brooklyn","1",234,144
40.73961,-73.98074,"Entire home/apt",0.22,26,7,"Kips Bay","Manhattan","1",257,200
40.70881,-73.9593,"Entire home/apt",0.9,155,30,"Williamsburg","Brooklyn","1",30,150
40.72004,-73.99104,"Private room",0.17,27,5,"Lower East Side","Manhattan","1",301,110
40.75531,-73.99293,"Private room",2.49,423,2,"Hell's Kitchen","Manhattan","2",294,69
40.72401,-73.93788,"Private room",1.19,201,4,"Greenpoint","Brooklyn","3",320,49
40.7221,-73.99775,"Entire home/apt",0.3,31,30,"SoHo","Manhattan","1",154,180
40.71185,-73.96204,"Private room",0.38,62,2,"Williamsburg","Brooklyn","1",263,80
40.74623,-73.9953,"Entire home/apt",0.12,6,180,"Chelsea","Manhattan","1",180,375
40.77065,-73.95269,"Entire home/apt",0.57,91,2,"Upper East Side","Manhattan","2",231,250
40.67811,-73.96428,"Entire home/apt",1.33,190,30,"Prospect Heights","Brooklyn","2",297,200
40.69,-73.96788,"Private room",0.23,27,7,"Clinton Hill","Brooklyn","2",292,55
40.75979,-73.99119,"Private room",1.65,275,30,"Hell's Kitchen","Manhattan","1",191,52
40.67343,-73.98338,"Entire home/apt",0.16,4,3,"Park Slope","Brooklyn","1",0,225
40.72649,-73.97904,"Private room",4.72,504,1,"East Village","Manhattan","2",72,80
40.70933,-73.96792,"Entire home/apt",1.4,219,1,"Williamsburg","Brooklyn","1",362,275
40.72298,-73.98474,"Private room",1.26,156,1,"East Village","Manhattan","2",336,99
40.80164,-73.93922,"Entire home/apt",1.64,281,4,"East Harlem","Manhattan","1",215,225
40.72162,-73.98008,"Entire home/apt",0.43,55,9,"East Village","Manhattan","1",116,230
40.76342,-73.98865,"Private room",0.43,33,7,"Hell's Kitchen","Manhattan","1",88,51
40.83139,-73.94095,"Private room",1.6,72,2,"Washington Heights","Manhattan","2",336,65
40.68346,-73.96374,"Private room",0.92,156,2,"Clinton Hill","Brooklyn","1",304,105
40.72828,-73.98801,"Entire home/apt",0.2,27,5,"East Village","Manhattan","1",224,190
40.76865,-73.95058,"Private room",1.5,212,1,"Upper East Side","Manhattan","1",322,200
40.75038,-73.90334,"Private room",0.22,36,30,"Woodside","Queens","1",324,70
40.6932,-73.97267,"Private room",1.28,210,3,"Fort Greene","Brooklyn","1",132,95
40.74138,-74.00197,"Private room",1.65,242,3,"Chelsea","Manhattan","1",295,150
40.71154,-73.96112,"Private room",0.54,86,3,"Williamsburg","Brooklyn","4",238,145
40.82915,-73.95136,"Entire home/apt",0.49,74,31,"Harlem","Manhattan","1",209,110
40.71851,-73.98892,"Entire home/apt",0.62,104,5,"Lower East Side","Manhattan","1",328,285
40.65401,-73.96323,"Entire home/apt",0.15,23,6,"Flatbush","Brooklyn","1",38,130
40.7114,-73.98794,"Private room",0.84,131,30,"Lower East Side","Manhattan","1",188,94
40.69723,-73.99268,"Entire home/apt",0.24,21,1,"Brooklyn Heights","Brooklyn","1",7,800
40.71833,-73.95748,"Entire home/apt",0.53,72,3,"Williamsburg","Brooklyn","1",272,105
40.72334,-73.9844,"Private room",1.73,289,3,"East Village","Manhattan","1",26,60
40.72912,-73.98057,"Private room",0.05,1,1,"East Village","Manhattan","1",0,50
40.71156,-73.96218,"Private room",1.54,257,3,"Williamsburg","Brooklyn","4",288,85
40.70032,-73.9383,"Private room",0.28,34,4,"Bushwick","Brooklyn","1",317,65
40.68233,-73.97261,"Entire home/apt",3.4,246,4,"Prospect Heights","Brooklyn","1",207,131
40.68634,-73.966,"Private room",0.2,23,7,"Clinton Hill","Brooklyn","6",185,98
40.68035,-73.97162,"Entire home/apt",0.3,30,7,"Prospect Heights","Brooklyn","1",158,250
40.70984,-73.95775,"Entire home/apt",1.57,198,5,"Williamsburg","Brooklyn","1",0,100
40.70093,-73.92609,"Entire home/apt",1.05,174,3,"Bushwick","Brooklyn","2",9,105
40.79764,-73.96177,"Entire home/apt",0.71,121,3,"Upper West Side","Manhattan","1",198,140
40.82803,-73.94731,"Private room",0.11,1,1,"Harlem","Manhattan","1",365,89
40.74008,-74.00271,"Private room",0.27,42,30,"Chelsea","Manhattan","2",364,98
40.68413,-73.92357,"Entire home/apt",1.23,174,7,"Bedford-Stuyvesant","Brooklyn","2",311,125
40.82279,-73.95139,"Private room",0.87,14,3,"Harlem","Manhattan","3",219,60
40.67967,-74.00154,"Entire home/apt",2.09,345,2,"Carroll Gardens","Brooklyn","3",342,175
40.83927,-73.94281,"Private room",0.6,38,2,"Washington Heights","Manhattan","1",312,65
40.73096,-74.00319,"Entire home/apt",0.55,66,4,"West Village","Manhattan","2",243,500
40.71332,-73.94177,"Private room",3.02,487,3,"Williamsburg","Brooklyn","1",152,101
40.66941,-73.98109,"Entire home/apt",0.79,110,30,"Park Slope","Brooklyn","1",9,220
40.68373,-73.92377,"Entire home/apt",1.46,241,90,"Bedford-Stuyvesant","Brooklyn","2",137,125
40.71459,-73.94844,"Entire home/apt",0.4,33,30,"Williamsburg","Brooklyn","1",222,80
40.8092,-73.94421,"Private room",1.61,252,2,"Harlem","Manhattan","1",346,100
40.68157,-73.98989,"Entire home/apt",0.2,17,30,"Gowanus","Brooklyn","1",208,200
40.75527,-73.99291,"Private room",3,492,2,"Hell's Kitchen","Manhattan","2",279,59
40.68698,-73.96572,"Private room",0.2,27,2,"Clinton Hill","Brooklyn","6",250,125
40.7288,-73.98192,"Entire home/apt",0.13,12,7,"East Village","Manhattan","1",164,140
40.66853,-73.98912,"Entire home/apt",4.22,611,30,"South Slope","Brooklyn","2",192,120
40.7254,-73.98157,"Entire home/apt",0.06,6,2,"East Village","Manhattan","4",298,350
40.74294,-73.98009,"Entire home/apt",0.38,29,5,"Kips Bay","Manhattan","1",260,199
40.71942,-73.95748,"Entire home/apt",3.01,480,3,"Williamsburg","Brooklyn","1",107,325
40.77823,-73.97637,"Entire home/apt",0.27,38,6,"Upper West Side","Manhattan","1",199,235
40.72555,-73.97965,"Entire home/apt",1.05,168,1,"East Village","Manhattan","4",299,225
40.66831,-73.98604,"Private room",3.2,511,2,"South Slope","Brooklyn","3",20,99
40.82754,-73.94919,"Entire home/apt",2.03,290,2,"Harlem","Manhattan","1",318,170
40.66499,-73.97925,"Entire home/apt",0.24,20,2,"South Slope","Brooklyn","2",216,400
40.77842,-73.97556,"Entire home/apt",0.12,19,7,"Upper West Side","Manhattan","1",224,170
40.72245,-73.98527,"Entire home/apt",0.23,13,4,"East Village","Manhattan","1",0,100
40.65593,-73.96053,"Private room",0.08,11,2,"Prospect-Lefferts Gardens","Brooklyn","1",324,75
40.71923,-73.96468,"Private room",0.08,4,1,"Williamsburg","Brooklyn","1",245,90
40.778,-73.94822,"Entire home/apt",0.19,20,5,"Upper East Side","Manhattan","1",189,150
40.85879,-73.93128,"Private room",0.33,35,15,"Washington Heights","Manhattan","1",307,85
40.68332,-73.9547,"Private room",0.58,90,3,"Bedford-Stuyvesant","Brooklyn","2",310,70
40.81618,-73.94894,"Entire home/apt",1.42,229,3,"Harlem","Manhattan","3",213,120
40.68414,-73.96351,"Private room",2.35,388,3,"Clinton Hill","Brooklyn","1",278,89
40.72392,-73.99143,"Entire home/apt",0.66,108,5,"East Village","Manhattan","1",209,185
40.73494,-73.9503,"Private room",1.86,278,3,"Greenpoint","Brooklyn","1",0,50
40.71341,-73.98856,"Entire home/apt",0.29,47,3,"Lower East Side","Manhattan","1",16,105
40.76754,-73.98399,"Private room",0.45,72,2,"Hell's Kitchen","Manhattan","3",234,130
40.73442,-74.00303,"Entire home/apt",0.25,38,29,"West Village","Manhattan","1",12,115
40.63188,-73.93248,"Private room",0.02,2,2,"Flatlands","Brooklyn","1",178,77
40.6873,-73.9634,"Private room",3.89,632,2,"Clinton Hill","Brooklyn","3",275,76
40.68296,-73.93662,"Entire home/apt",2.09,336,3,"Bedford-Stuyvesant","Brooklyn","2",163,125
40.6863,-73.96765,"Private room",0.77,125,4,"Clinton Hill","Brooklyn","3",365,135
40.73409,-73.95348,"Entire home/apt",0.03,2,29,"Greenpoint","Brooklyn","1",34,250
40.71561,-73.94835,"Entire home/apt",0.1,11,3,"Williamsburg","Brooklyn","1",280,199
40.6857,-73.99183,"Entire home/apt",0.04,3,2,"Cobble Hill","Brooklyn","1",0,140
40.74028,-73.83168,"Private room",0.01,0,2,"Flushing","Queens","1",1,140
40.68281,-73.93524,"Entire home/apt",1.72,183,3,"Bedford-Stuyvesant","Brooklyn","2",170,115
40.71596,-73.93938,"Entire home/apt",0.11,16,3,"Williamsburg","Brooklyn","1",188,160
40.71492,-73.95935,"Entire home/apt",2.19,354,4,"Williamsburg","Brooklyn","1",214,195
40.72354,-73.98295,"Entire home/apt",0.28,44,3,"East Village","Manhattan","1",248,195
40.71165,-73.96087,"Private room",1.86,296,3,"Williamsburg","Brooklyn","4",262,80
40.69101,-73.97312,"Private room",1.05,40,8,"Fort Greene","Brooklyn","5",280,44
40.73474,-74.00101,"Private room",0.74,117,4,"West Village","Manhattan","1",307,156
40.67386,-73.96641,"Private room",0.09,5,15,"Prospect Heights","Brooklyn","1",339,85
40.71536,-73.96057,"Private room",1.61,228,3,"Williamsburg","Brooklyn","1",1,125
40.6741,-73.96595,"Entire home/apt",0.05,4,15,"Prospect Heights","Brooklyn","1",269,115
40.79295,-73.93997,"Private room",0.32,32,2,"East Harlem","Manhattan","1",10,69
40.73226,-74.00401,"Entire home/apt",1.24,186,45,"West Village","Manhattan","1",312,225
40.71363,-73.96398,"Entire home/apt",0.25,35,6,"Williamsburg","Brooklyn","1",189,125
40.77711,-73.9527,"Entire home/apt",1.16,187,4,"Upper East Side","Manhattan","2",290,219
40.68559,-73.98094,"Entire home/apt",0.27,30,3,"Boerum Hill","Brooklyn","1",230,475
40.77456,-73.95323,"Entire home/apt",2.6,343,1,"Upper East Side","Manhattan","2",164,99
40.71088,-73.95055,"Private room",1.86,293,4,"Williamsburg","Brooklyn","2",53,69
40.74559,-73.92313,"Private room",0.26,39,30,"Sunnyside","Queens","1",126,79
40.68306,-73.94659,"Entire home/apt",2.86,457,2,"Bedford-Stuyvesant","Brooklyn","2",3,135
40.70207,-73.98571,"Private room",0.13,7,3,"DUMBO","Brooklyn","1",189,250
40.76123,-73.9642,"Entire home/apt",0.08,3,3,"Upper East Side","Manhattan","1",365,250
40.66858,-73.99083,"Entire home/apt",2.17,119,2,"Gowanus","Brooklyn","1",0,250
40.82704,-73.94907,"Entire home/apt",0.04,1,3,"Harlem","Manhattan","1",0,80
40.68843,-73.96408,"Private room",3.47,436,2,"Clinton Hill","Brooklyn","3",336,70
40.6783,-74.00135,"Entire home/apt",1.4,221,2,"Carroll Gardens","Brooklyn","3",342,165
40.64524,-74.08088,"Private room",1.66,244,2,"St. George","Staten Island","1",312,70
40.70641,-73.91765,"Private room",0.94,69,2,"Bushwick","Brooklyn","1",37,50
40.83232,-73.93184,"Private room",2.04,327,1,"Highbridge","Bronx","3",353,40
40.71045,-73.9677,"Entire home/apt",1.78,160,2,"Williamsburg","Brooklyn","1",177,150
40.72518,-73.98034,"Private room",0.78,124,1,"East Village","Manhattan","4",310,125
40.70666,-74.01374,"Entire home/apt",1.06,168,3,"Financial District","Manhattan","1",0,196
40.69098,-73.97113,"Private room",2,316,2,"Fort Greene","Brooklyn","2",321,110
40.73756,-74.00405,"Entire home/apt",0.8,125,3,"West Village","Manhattan","1",246,170
40.81526,-73.94791,"Entire home/apt",0.75,116,3,"Harlem","Manhattan","3",231,165
40.73423,-74.0046,"Entire home/apt",0.36,30,26,"West Village","Manhattan","1",225,150
40.82374,-73.9373,"Entire home/apt",1.79,23,2,"Harlem","Manhattan","1",0,100
40.68863,-73.97691,"Private room",1.92,307,2,"Fort Greene","Brooklyn","2",0,65
40.70382,-73.89797,"Entire home/apt",0.11,14,8,"Ridgewood","Queens","5",365,350
40.80549,-73.95924,"Private room",1.18,175,4,"Morningside Heights","Manhattan","2",233,99
40.71627,-73.9587,"Entire home/apt",0.58,46,4,"Williamsburg","Brooklyn","1",1,200
40.67994,-73.97863,"Entire home/apt",0.5,76,5,"Park Slope","Brooklyn","1",18,150
40.67992,-73.9475,"Private room",1.17,181,3,"Bedford-Stuyvesant","Brooklyn","4",343,90
40.67868,-73.97307,"Private room",0.48,75,3,"Prospect Heights","Brooklyn","3",250,120
40.76834,-73.95334,"Private room",1.85,295,3,"Upper East Side","Manhattan","1",326,75
40.68237,-73.9415,"Entire home/apt",0.29,16,26,"Bedford-Stuyvesant","Brooklyn","1",364,175
40.74031,-73.99999,"Entire home/apt",0.03,2,3,"Chelsea","Manhattan","1",0,125
40.76307,-73.99665,"Entire home/apt",0.38,60,1,"Hell's Kitchen","Manhattan","1",299,275
40.71882,-73.98852,"Entire home/apt",1.04,160,2,"Lower East Side","Manhattan","1",207,299
40.6693,-73.98804,"Entire home/apt",1.43,223,5,"South Slope","Brooklyn","3",162,135
40.72319,-73.99201,"Private room",2.69,422,1,"Lower East Side","Manhattan","1",7,83
40.74859,-73.99671,"Private room",3.52,553,1,"Chelsea","Manhattan","1",328,123
40.67252,-73.76597,"Private room",0.49,75,2,"Jamaica","Queens","2",365,55
40.76244,-73.99271,"Entire home/apt",1.01,14,5,"Hell's Kitchen","Manhattan","1",0,195
40.69546,-73.93503,"Private room",0.48,11,2,"Bedford-Stuyvesant","Brooklyn","1",0,80
40.71722,-73.87856,"Entire home/apt",0.31,23,30,"Middle Village","Queens","5",240,98
40.70234,-73.89816,"Private room",0.06,4,7,"Ridgewood","Queens","5",365,140
40.71546,-73.87854,"Entire home/apt",0.38,53,7,"Middle Village","Queens","5",365,265
40.7195,-73.95976,"Entire home/apt",3.44,529,2,"Williamsburg","Brooklyn","2",164,249
40.76548,-73.98474,"Shared room",0.09,6,6,"Hell's Kitchen","Manhattan","1",363,105
40.6787,-73.97262,"Private room",2.12,330,2,"Prospect Heights","Brooklyn","3",250,100
40.81035,-73.94598,"Entire home/apt",1,154,1,"Harlem","Manhattan","5",247,121
40.83075,-73.93058,"Private room",1.45,205,1,"Highbridge","Bronx","3",323,45
40.79958,-73.94275,"Private room",1.92,302,5,"East Harlem","Manhattan","1",192,100
40.71625,-73.93845,"Entire home/apt",3.04,377,2,"Williamsburg","Brooklyn","1",125,140
40.6829,-73.93549,"Private room",0.22,34,2,"Bedford-Stuyvesant","Brooklyn","1",91,71
40.72773,-73.99134,"Private room",1.17,148,2,"NoHo","Manhattan","1",75,130
40.72861,-74.0049,"Entire home/apt",1.22,186,5,"West Village","Manhattan","1",286,199
40.70979,-73.95162,"Private room",1.13,120,4,"Williamsburg","Brooklyn","2",60,69
40.68656,-73.97525,"Private room",0.35,48,3,"Fort Greene","Brooklyn","1",0,68
40.72752,-73.98432,"Entire home/apt",2.04,304,1,"East Village","Manhattan","1",192,130
40.729,-73.95829,"Entire home/apt",0.65,101,2,"Greenpoint","Brooklyn","1",58,195
40.81219,-73.94499,"Private room",1.84,280,1,"Harlem","Manhattan","5",245,64
40.77185,-73.90502,"Entire home/apt",0.16,25,2,"Ditmars Steinway","Queens","1",292,140
40.68926,-73.99386,"Entire home/apt",2.12,329,2,"Cobble Hill","Brooklyn","1",279,159
40.72821,-73.98701,"Entire home/apt",1.96,303,3,"East Village","Manhattan","1",0,189
40.7672,-73.98508,"Entire home/apt",0.96,137,3,"Hell's Kitchen","Manhattan","1",3,250
40.73012,-73.99053,"Entire home/apt",0.07,10,3,"East Village","Manhattan","1",351,239
40.7403,-73.98498,"Entire home/apt",1.09,161,2,"Flatiron District","Manhattan","1",201,305
40.80931,-73.94343,"Entire home/apt",2.1,329,3,"Harlem","Manhattan","2",232,155
40.8251,-73.94287,"Private room",4.58,684,1,"Harlem","Manhattan","2",258,60
40.6585,-73.98397,"Private room",0.26,30,2,"Windsor Terrace","Brooklyn","1",272,135
40.76193,-73.9501,"Private room",0.3,24,7,"Roosevelt Island","Manhattan","1",341,120
40.72052,-73.98589,"Entire home/apt",0.39,53,3,"Lower East Side","Manhattan","1",244,150
40.70411,-73.89934,"Entire home/apt",0.01,0,14,"Ridgewood","Queens","5",365,140
40.73401,-73.95967,"Entire home/apt",0.67,99,2,"Greenpoint","Brooklyn","1",12,135
40.71756,-73.99503,"Entire home/apt",0.18,26,4,"Chinatown","Manhattan","2",265,250
40.7589,-73.96991,"Entire home/apt",0.78,63,30,"Midtown","Manhattan","1",0,250
40.72003,-74.00262,"Entire home/apt",0.99,139,4,"SoHo","Manhattan","1",329,500
40.73194,-73.99474,"Entire home/apt",0.1,14,5,"Greenwich Village","Manhattan","1",91,225
40.79163,-73.94573,"Entire home/apt",1.83,225,28,"East Harlem","Manhattan","2",365,125
40.8118,-73.94434,"Private room",1.82,277,1,"Harlem","Manhattan","5",253,92
40.81583,-73.94707,"Private room",0.11,1,2,"Harlem","Manhattan","1",365,175
40.72654,-73.98049,"Entire home/apt",1.22,187,2,"East Village","Manhattan","1",320,99
40.80021,-73.96071,"Entire home/apt",0.04,3,4,"Upper West Side","Manhattan","1",0,195
40.80942,-73.93936,"Entire home/apt",1.3,199,3,"East Harlem","Manhattan","3",192,140
40.71961,-73.9954,"Entire home/apt",0.2,16,2,"Little Italy","Manhattan","1",0,135
40.74358,-74.00027,"Entire home/apt",0.34,34,2,"Chelsea","Manhattan","1",348,500
40.80335,-73.9575,"Private room",2.21,14,14,"Harlem","Manhattan","2",0,80
40.71445,-73.9908,"Private room",1.8,253,4,"Chinatown","Manhattan","2",353,120
40.75749,-73.96897,"Entire home/apt",0.9,131,200,"Midtown","Manhattan","1",140,110
40.64446,-73.9503,"Entire home/apt",2.3,350,3,"East Flatbush","Brooklyn","1",2,65
40.7268,-73.99079,"Entire home/apt",0.58,81,50,"East Village","Manhattan","1",56,130
40.688,-73.9171,"Entire home/apt",2.13,164,3,"Bushwick","Brooklyn","1",68,99
40.63536,-74.08537,"Private room",1.85,286,2,"Tompkinsville","Staten Island","6",360,36
40.63627,-74.08543,"Private room",1.44,215,2,"Tompkinsville","Staten Island","6",0,37
40.63518,-74.08546,"Private room",1.71,264,2,"Tompkinsville","Staten Island","6",320,37
40.72477,-73.98161,"Entire home/apt",1.78,268,3,"East Village","Manhattan","2",326,175
40.74238,-73.99567,"Entire home/apt",0.7,91,9,"Chelsea","Manhattan","2",76,205
40.72945,-73.95511,"Entire home/apt",1.22,182,3,"Greenpoint","Brooklyn","3",279,285
40.70763,-73.95177,"Private room",1.77,268,2,"Williamsburg","Brooklyn","2",15,59
40.63481,-74.08519,"Private room",3.19,497,2,"Tompkinsville","Staten Island","6",340,36
40.75384,-73.91433,"Entire home/apt",4.5,654,5,"Astoria","Queens","1",226,99
40.64106,-73.97426,"Private room",0.46,64,1,"Kensington","Brooklyn","2",365,39
40.66793,-73.98327,"Private room",0.09,7,14,"Park Slope","Brooklyn","2",0,60
40.88057,-73.83572,"Entire home/apt",0.5,56,2,"Eastchester","Bronx","13",365,105
40.68236,-73.94314,"Entire home/apt",2.39,368,2,"Bedford-Stuyvesant","Brooklyn","2",11,135
40.72185,-73.98246,"Entire home/apt",1.38,211,5,"East Village","Manhattan","2",316,390
40.68503,-73.95385,"Private room",0.41,43,3,"Bedford-Stuyvesant","Brooklyn","4",281,70
40.7069,-73.95467,"Private room",0.14,18,17,"Williamsburg","Brooklyn","4",362,60
40.6778,-73.94339,"Private room",2.69,414,3,"Crown Heights","Brooklyn","1",301,100
40.68317,-73.94701,"Private room",0.22,23,4,"Bedford-Stuyvesant","Brooklyn","4",189,70
40.6761,-73.9529,"Private room",3.55,72,6,"Crown Heights","Brooklyn","1",0,110
40.67586,-73.95155,"Private room",2.27,337,2,"Crown Heights","Brooklyn","2",287,60
40.71702,-73.99811,"Entire home/apt",0.16,1,14,"Little Italy","Manhattan","1",14,90
40.72321,-73.98157,"Private room",1.96,301,2,"East Village","Manhattan","2",86,68
40.77956,-73.98098,"Entire home/apt",2.1,314,2,"Upper West Side","Manhattan","1",261,115
40.68276,-73.95264,"Private room",0.67,84,5,"Bedford-Stuyvesant","Brooklyn","1",68,75
40.72956,-73.98158,"Entire home/apt",0.15,6,7,"East Village","Manhattan","1",231,129
40.71069,-73.95175,"Entire home/apt",0.48,72,10,"Williamsburg","Brooklyn","1",152,130
40.70863,-73.94641,"Entire home/apt",1.27,197,4,"Williamsburg","Brooklyn","1",46,95
40.82888,-73.94307,"Private room",0.26,26,3,"Harlem","Manhattan","1",364,75
40.67319,-73.97323,"Entire home/apt",0.11,6,2,"Park Slope","Brooklyn","1",246,175
40.67846,-73.99443,"Entire home/apt",0.57,76,3,"Carroll Gardens","Brooklyn","1",288,190
40.6715,-73.94808,"Private room",0.15,22,21,"Crown Heights","Brooklyn","5",331,49
40.72681,-73.98534,"Entire home/apt",1.31,99,3,"East Village","Manhattan","1",51,212
40.71904,-73.99392,"Private room",1.11,161,1,"Lower East Side","Manhattan","3",364,95
40.71031,-73.9583,"Entire home/apt",0.11,12,2,"Williamsburg","Brooklyn","1",254,140
40.81322,-73.95306,"Entire home/apt",1.87,277,6,"Harlem","Manhattan","1",189,135
40.67732,-73.98225,"Entire home/apt",2.08,317,2,"Park Slope","Brooklyn","2",263,150
40.68076,-73.9896,"Entire home/apt",0.79,102,3,"Gowanus","Brooklyn","2",258,190
40.79603,-73.94903,"Entire home/apt",0.26,32,28,"East Harlem","Manhattan","1",103,124
40.71492,-73.96282,"Entire home/apt",0.56,80,30,"Williamsburg","Brooklyn","1",42,135
40.80393,-73.95838,"Private room",0.93,137,3,"Morningside Heights","Manhattan","1",246,122
40.80082,-73.9652,"Private room",1.05,154,1,"Upper West Side","Manhattan","2",364,109
40.82976,-73.94867,"Private room",0.68,75,30,"Harlem","Manhattan","1",318,85
40.683,-73.91981,"Entire home/apt",1.25,188,3,"Bedford-Stuyvesant","Brooklyn","2",72,145
40.78971,-73.9729,"Entire home/apt",0.32,44,11,"Upper West Side","Manhattan","1",249,195
40.67817,-73.99495,"Entire home/apt",1.34,157,2,"Carroll Gardens","Brooklyn","3",272,250
40.73119,-73.95578,"Private room",0.1,5,3,"Greenpoint","Brooklyn","1",325,125
40.71943,-73.99627,"Entire home/apt",1.88,282,2,"Little Italy","Manhattan","1",298,575
40.78,-73.98249,"Entire home/apt",0.55,70,30,"Upper West Side","Manhattan","1",35,150
40.70514,-73.91922,"Private room",0.49,70,5,"Bushwick","Brooklyn","1",203,70
40.86713,-73.92811,"Private room",1.27,178,2,"Inwood","Manhattan","1",132,90
40.73198,-73.98881,"Private room",0.63,68,3,"East Village","Manhattan","1",5,65
40.72542,-73.97986,"Entire home/apt",0.48,70,2,"East Village","Manhattan","4",297,500
40.83494,-73.93869,"Entire home/apt",0.43,46,3,"Washington Heights","Manhattan","2",276,250
40.71659,-73.98945,"Entire home/apt",0.42,63,25,"Chinatown","Manhattan","1",102,125
40.72966,-74.00243,"Entire home/apt",0.44,57,30,"West Village","Manhattan","1",251,200
40.72898,-73.95552,"Entire home/apt",0.5,32,1,"Greenpoint","Brooklyn","1",188,229
